"Month","SoC_PFS","SoC_OS","Trt_PFS","Trt_OS"
52,0.0102118678849585,0.249185815541068,0.145156985523888,0.530686943158573
53,0.0091848814875333,0.241960938119367,0.139344758884797,0.523937640274429
54,0.00825786701493851,0.234932482809349,0.133754935799606,0.51726792594573
55,0.00742148397718964,0.228095725209923,0.128379605357617,0.510677055750268
56,0.00666721813047389,0.221446021210977,0.123211100189541,0.50416428395024
57,0.00598731397063615,0.214978807872631,0.118241991693427,0.49772886403544
58,0.00537471205286728,0.208689604082434,0.113465085111706,0.491370049226035
59,0.00482299088249375,0.202574011011134,0.108873414490338,0.485087092938151
60,0.00432631312207548,0.196627712385783,0.1044602375477,0.478879249215177
61,0.00387937586291626,0.190846474597314,0.100099386406847,0.472607229882748
62,0.00347736471406423,0.18522614665819,0.0957989259777995,0.466275377250415
63,0.00311591146848792,0.179762660024381,0.0915664339252008,0.459888046632452
64,0.00279105511398335,0.174452028294731,0.0874089800567939,0.45344960067886
65,0.00249920596518101,0.16929034679961,0.0833331095184014,0.446964403760659
66,0.00223711270251165,0.164273792089808,0.0793448297977989,0.440436816418789
67,0.00200183211393027,0.159398621335658,0.0754496015065307,0.433871189885725
68,0.00179070134540264,0.154661171645581,0.0716523328766653,0.427271860688768
69,0.00160131247647119,0.150057859312473,0.0679573778790918,0.420643145343727
70,0.00143148924751086,0.145585178995663,0.0643685378414965,0.413989335147471
71,0.0012792657754563,0.141239702845543,0.0608890664179104,0.407314691077564
72,0.00114286710474684,0.137018079577395,0.0575216777379003,0.40062343880691
73,0.00102069144992983,0.132917033500399,0.0542685575422863,0.393919763841024
74,0.000911293995735617,0.128933363507339,0.0511313770938509,0.387207806785208
75,0.000813372129451119,0.125063942030062,0.048111309635968,0.38049165874859
76,0.000725751989046751,0.121305713965344,0.0452090491594889,0.373775356891596
77,0.00064737621873581,0.117655695575437,0.0424248312286052,0.367062880123059
78,0.000577292831455566,0.114110973367229,0.0397584556097475,0.360358144952787
79,0.000514645085151641,0.11066870295362,0.0372093104438264,0.353665001505005
80,0.000458662286722686,0.107326107900433,0.0347763977011873,0.346987229697665
81,0.000408651444046071,0.104080478561907,0.0324583596604161,0.340328535592226
82,0.000363989692665949,0.100929170907554,0.0302535061564492,0.333692547918035
83,0.000324117429493803,0.0978696053429448,0.0281598423501346,0.327082814775065
84,0.000288532091261558,0.0948992655267786,0.0261750967802586,0.320502800518269
85,0.000256782520493291,0.0920156971863693,0.0242967494698878,0.313955882826417
86,0.000228463866439264,0.0892165069335243,0.0225220598714404,0.307445349957804
87,0.000203212972761792,0.086499361082607,0.0208480944489604,0.300974398194811
88,0.00018070420779334,0.0838619844724232,0.0192717537113711,0.29454612947883
89,0.000160645696920067,0.0813021592934213,0.017789798526785,0.288163549236637
90,0.000142775920095841,0.0788177239215676,0.0163988755649992,0.281829564398866
91,0.000126860640679215,0.0764065717601277,0.0150955417328607,0.275546981610815
92,0.000112690134725272,0.0740666500904719,0.0138762874850109,0.269318505635356
93,0.000100076692571639,0.0717959589329154,0.0127375589103993,0.263146737947364
94,8.88523670485052e-05,0.0695925499185034,0.0116757785126605,0.257034175518602
95,7.88669449310068e-05,0.0674545251725596,0.0106873646198054,0.250983209791676
96,6.99861203529569e-05,0.0653800362107312,0.00976874937549292,0.244996125841222
97,6.20898508269038e-05,0.0633672828481844,0.0089163952802674,0.239075101720145
98,5.50708782797622e-05,0.0614145121225305,0.00812681026643648,0.233222207988368
99,4.88333991277108e-05,0.0595200172309948,0.00739656130459813,0.227439407421182
100,4.32918688900759e-05,0.0576821364822782,0.00672228655311015,0.221728554893964
101,3.83699281901744e-05,0.0558992522635015,0.00610070607395485,0.216091397439696
102,3.39994382215607e-05,0.0541697900225691,0.00552863114942626,0.210529574475446
103,3.01196148801789e-05,0.0524922172662401,0.00500297224382349,0.205044618193619
104,2.66762517852763e-05,0.0508650425741454,0.00452074566285129,0.199637954113585
105,2.36210233427235e-05,0.0492868146289497,0.00407907897070817,0.194310901788979
106,2.09108598511801e-05,0.0477561212628151,0.00367521523089923,0.189064675665752
107,1.85073874213421e-05,0.0462715885202893,0.00330651614167521,0.183900386085838
108,1.63764261778194e-05,0.0448318797377048,0.00297046414071416,0.178819040431073
109,1.44875408480416e-05,0.0434356946391452,0.00266466355628363,0.173821544401835
110,1.28136384185147e-05,0.0420817684490087,0.00238684088371263,0.168908703424719
111,1.13306080608914e-05,0.0407688710211675,0.00213484426663597,0.164081224183364
112,1.0016999003395e-05,0.0394958059847028,0.00190664226222903,0.15933971626648
113,8.85373245148673e-06,0.0382614099061688,0.00170032196860864,0.154684693926968
114,7.82384404929146e-06,0.037064551468321,0.00151408659082483,0.15011657794594
115,6.91225372385872e-06,0.0359041306652247,0.00134625251949208,0.145635697595385
116,6.10556007119611e-06,0.0347790780136428,0.00119524599319815,0.141242292693153
117,5.39185672924932e-06,0.0336883537805854,0.00105959941246672,0.136936515743893
118,4.76056844143575e-06,0.0326309472268913,0.000937947369321961,0.132718434159564
119,4.20230474754058e-06,0.0316058758666979,0.00082902245248831,0.128588032553113
120,3.70872944910953e-06,0.0306121847426429,0.00073165088403354,0.124545215098959
121,3.27244418606625e-06,0.0296489457166336,0.000645581381586261,0.120626291549574
122,2.88688463210321e-06,0.0287152567760077,0.000569518947705471,0.116827592079955
123,2.54622797022448e-06,0.0278102413549028,0.000502314868455277,0.113145550395019
124,2.24531044828059e-06,0.0269330476706419,0.000442950448922251,0.109576701029702
125,1.97955393890584e-06,0.0260828480749395,0.000390522525103652,0.106117676709354
126,1.74490054028802e-06,0.0252588384197228,0.000344230562075337,0.102765205769584
127,1.53775435488843e-06,0.0244602374373598,0.000303365168211631,0.0995161096347339
128,1.3549296736912e-06,0.0236862861350817,0.000267297873075499,0.0963673003540922
129,1.19360487479937e-06,0.0229362472033819,0.000235472032623836,0.0933157781949756
130,1.05128141811786e-06,0.0222094044381723,0.000207394739758826,0.0903586292917793
131,9.25747383295595e-07,0.0215050621764734,0.000182629631164544,0.087493023350091
132,8.15045056783665e-07,0.0208225447454137,0.000160790492945263,0.084716211404954
133,7.17442126479034e-07,0.0201611959243126,0.000141535577961159,0.082025523632358
134,6.31406089572281e-07,0.0195203784196175,0.000124562557058628,0.0794183672130302
135,5.55581521453873e-07,0.0188994733524686,0.000109604034724621,0.0768922242475992
